FTR,B365H,B365D,B365A,ganancia
H,2.15,3.1,3.6,-1.0
H,2.15,3.0,3.75,-1.0
D,2.7,3.0,2.8,2.0
D,2.0,3.1,4.2,2.1
H,2.2,3.0,3.6,-1.0
D,2.1,3.2,3.6,2.2
H,2.88,3.0,2.63,-1.0
A,2.15,3.1,3.6,-1.0
H,2.5,3.1,2.9,-1.0
H,2.5,3.0,3.0,-1.0
H,2.25,3.1,3.4,-1.0
A,2.38,3.1,3.1,-1.0
A,2.25,3.0,3.5,-1.0
A,2.15,3.1,3.6,-1.0
D,2.25,3.1,3.4,2.1
H,2.05,3.0,4.1,-1.0
D,2.6,3.2,2.7,2.2
H,2.1,3.1,3.75,-1.0
H,2.15,3.3,3.4,-1.0
A,3.0,3.0,2.5,-1.0
H,2.5,3.0,3.0,-1.0
A,3.0,3.0,2.5,-1.0
D,2.05,3.2,3.8,2.2
D,2.7,3.0,2.8,2.0
H,2.25,3.2,3.25,-1.0
D,2.05,3.25,3.75,2.25
H,2.0,3.3,3.8,-1.0
H,2.2,3.2,3.4,-1.0
D,2.0,3.3,3.8,2.3
H,2.0,3.1,4.1,-1.0
D,2.55,3.1,2.88,2.1
A,2.1,3.1,3.75,-1.0
D,2.15,3.1,3.6,2.1
A,2.4,3.1,3.1,-1.0
D,2.87,3.2,2.5,2.2
A,2.0,3.29,3.79,-1.0
D,2.79,3.1,2.6,2.1
A,2.0,3.1,4.2,-1.0
A,2.1,3.1,3.75,-1.0
D,2.0,3.29,3.75,2.29
D,2.87,3.0,2.6,2.0
H,2.6,3.0,2.87,-1.0
D,2.14,3.1,3.6,2.1
D,3.2,3.0,2.39,2.0
D,2.2,3.2,3.39,2.2
H,2.1,3.0,3.89,-1.0
H,2.25,3.0,3.5,-1.0
H,2.87,3.1,2.54,-1.0
D,3.25,3.0,2.37,2.0
A,2.29,3.0,3.39,-1.0
D,2.1,3.2,3.6,2.2
D,2.0,3.0,4.33,2.0
A,2.62,3.1,2.79,-1.0
H,2.0,3.1,4.2,-1.0
A,2.5,3.1,2.89,-1.0
H,2.45,3.0,3.1,-1.0
A,2.54,3.1,2.87,-1.0
A,2.29,3.0,3.39,-1.0
D,2.2,3.29,3.29,2.29
H,2.6,3.0,2.87,-1.0
H,2.14,3.0,3.75,-1.0
A,2.37,3.0,3.2,-1.0
D,2.25,3.0,3.5,2.0
D,2.25,3.1,3.39,2.1
H,2.39,3.0,3.2,-1.0
A,2.0,3.2,4.0,-1.0
D,2.04,3.25,3.75,2.25
H,2.1,3.1,3.79,-1.0
H,2.5,3.0,3.0,-1.0
A,2.7,3.2,2.62,-1.0
H,2.0,3.29,3.79,-1.0
H,2.87,3.0,2.62,-1.0
D,2.25,3.0,3.5,2.0
D,2.62,3.1,2.75,2.1
